term
all
and
animal
ashes
at
back
bad
bark
because
belly
big
bird
bite
black
blood
blow
bone
breathe
burn
child
cloud
cold
come
count
cut
day
die
dig
dirty
dog
drink
dry
dull
dust
ear
earth
eat
egg
eye
fall 
far
fat
father
fear
feather
few
fight
fire
fish
five
float
flow
flower
fly
fog
foot
four
freeze
fruit
give
good
grass
green
guts
hair
hand
he
head
hear
heart
heavy
here
hit
hold
how
hunt
husband
i
ice
if
in
kill
know
lake
laugh
leaf
left
leg
lie
live
liver
long
louse
man
many
meat
mother
mountain
mouth
name
narrow
near
neck
new
night
nose
not
old
one
other
person
play
pull
push
rain
red
right
correct
river
road
root
rope
rotten
rub
salt
sand
say
scratch
sea
see
seed
sew
sharp
short
sing
sit
skin
sky
sleep
small
smell
smoke
smooth
snake
snow
some
spit
split
squeeze
stab
stand
star
stick
stone
straight
suck
sun
swell
swim
tail
that
there
they
thick
thin
think
this
thou
three
throw
tie
tongue
tooth
tree
turn
two
vomit
walk
warm
wash
water
we
wet
what
when
where
white
who
wide
wife
wind
wing
wipe
with
woman
woods
worm
ye
year
yellow
